Order Id,Product Code,Customer Id,Inward Date,Dispatch Date,Quantity Sold,Price
236982,88EB4558,CUST_00001,2023-08-02,2023-08-03,6,78570
653682,416DFEEB,CUST_00002,2023-10-03,2023-10-06,1,44613
695981,9F975B08,CUST_00003,2025-03-19,2025-03-20,5,159826
812573,73D2A7CC,CUST_00004,2024-02-06,2024-03-27,1,20911
800552,CCE0B80D,CUST_00005,2023-08-10,2023-09-10,4,69832
258616,10A5C53D,CUST_00006,2025-03-19,2025-05-08,1,190474
276970,14932CAE,CUST_00007,2023-10-10,2023-10-16,6,11670
110589,D58FF785,CUST_00008,2023-10-29,2023-12-20,1,15041
92225,4FC302CF,CUST_00009,2023-09-27,2023-10-11,3,186647
896920,E3CF42BE,CUST_00010,2025-02-09,2025-03-20,10,174698
581736,F54013D6,CUST_00011,2023-04-03,2023-04-19,9,51251
27642,38604169,CUST_00012,2024-04-11,2024-04-28,8,179710
469162,E1DA13C1,CUST_00013,2023-04-23,2023-05-18,6,132370
799634,2744030A,CUST_00014,2023-05-11,2023-07-08,10,195641
312344,9F9A8BA9,CUST_00015,2023-04-14,2023-05-16,1,121462
658164,00A8F8A0,CUST_00016,2023-11-27,2023-12-08,7,57148
710514,CF70EFC5,CUST_00017,2023-06-09,2023-07-17,9,136094
431815,7FE9993A,CUST_00018,2025-01-15,2025-01-31,9,89801
684726,E7692916,CUST_00019,2024-07-01,2024-08-13,4,54134
61448,C215F637,CUST_00020,2025-02-14,2025-03-02,8,138695
968972,651469C2,CUST_00021,2023-07-02,2023-07-12,8,168076
554571,5931B97C,CUST_00022,2024-10-27,2024-12-22,1,86089
745592,335BA5BE,CUST_00023,2023-11-23,2023-12-23,8,185556
454544,7402DBC0,CUST_00024,2023-09-14,2023-09-18,9,55049
480466,552EAB5F,CUST_00025,2025-02-27,2025-04-16,9,9395
74986,BF018999,CUST_00026,2023-10-15,2023-12-01,6,132523
736253,37D3F7F4,CUST_00027,2024-09-14,2024-11-09,2,87053
779628,4EBDFE31,CUST_00028,2024-08-31,2024-10-02,10,29617
317707,CF884218,CUST_00029,2024-04-12,2024-05-01,2,133951
130521,9A61C658,CUST_00030,2023-09-23,2023-10-27,6,11675
933281,C98F17CA,CUST_00031,2024-12-11,2024-12-12,8,97112
446533,1C31DF4A,CUST_00032,2025-03-03,2025-04-12,5,81871
958524,BD6CC48B,CUST_00033,2024-11-27,2024-12-28,5,28150
680161,F13739FF,CUST_00034,2023-12-18,2024-01-27,4,66535
185014,BDAB9D30,CUST_00035,2023-10-28,2023-11-30,8,104292
470139,B51BE37A,CUST_00036,2025-03-06,2025-03-30,6,27749
537005,26825C0F,CUST_00037,2024-06-18,2024-07-20,4,161473
924138,9F8C2082,CUST_00038,2023-10-16,2023-12-11,2,69287
699928,A957726E,CUST_00039,2023-07-13,2023-08-25,7,97802
803637,A692B6B2,CUST_00040,2024-08-20,2024-09-27,9,107133
987243,88EC2E27,CUST_00041,2024-04-08,2024-05-05,5,7670
165941,7289581E,CUST_00042,2024-11-19,2024-12-02,8,88221
868599,3.39E+04,CUST_00043,2025-02-02,2025-03-01,8,144051
98899,E83D4195,CUST_00044,2023-11-13,2024-01-01,6,64073
550611,29493FAA,CUST_00045,2024-08-14,2024-09-30,3,149785
177032,6C6A51C8,CUST_00046,2024-03-04,2024-04-04,4,153916
979594,98660CB1,CUST_00047,2024-03-21,2024-05-11,7,67598
224902,AEFEC66E,CUST_00048,2024-07-07,2024-08-09,9,61230
96741,B6659342,CUST_00049,2024-05-02,2024-05-20,3,9522
196986,DD508DD0,CUST_00050,2024-02-21,2024-03-15,9,59309
375967,350528D5,CUST_00051,2023-06-30,2023-08-02,3,154020
713336,ECFDD5AD,CUST_00052,2023-08-19,2023-09-11,4,159254
897496,F5B6B3D7,CUST_00053,2024-06-03,2024-06-27,8,165298
420827,33C9E127,CUST_00054,2024-09-02,2024-09-12,4,89297
132275,1EFB4542,CUST_00055,2023-04-02,2023-06-01,4,75366
137732,BD867652,CUST_00056,2025-02-17,2025-02-21,4,105696
847160,7B6AD3FF,CUST_00057,2023-08-12,2023-09-15,4,185287
160642,0E892823,CUST_00058,2023-07-23,2023-09-14,5,124578
106176,B5960254,CUST_00059,2025-01-19,2025-02-05,6,26317
562170,3FF7069B,CUST_00060,2024-06-21,2024-07-13,4,150746
489397,0F0C53FB,CUST_00061,2023-10-17,2023-12-14,7,51818
889958,F6DE94E0,CUST_00062,2024-03-16,2024-05-12,1,148517
967169,775C9D4A,CUST_00063,2023-04-26,2023-06-24,5,111353
819644,FFAFAD2B,CUST_00064,2023-07-05,2023-08-21,9,23100
377901,F9849F0C,CUST_00065,2023-09-09,2023-10-26,3,136232
576631,1E7A5A03,CUST_00066,2023-08-30,2023-09-20,4,86484
680386,DB6F5FEC,CUST_00067,2024-08-13,2024-10-02,3,37405
433281,D0EB2343,CUST_00068,2024-08-18,2024-08-27,8,9270
